"uid","vin","ys_time_stamp","sourceSystem","validationFlag","latitude","longitude","angle","custom1","custom2","custom3","custom4","location1","location2","location3","location4","image"
"062283523_N6E27551","N6E27551","2022-06-23 15:20:00.000","Drone","1","18.718867841062902","73.80290824671687","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/b8e8524b-cee9-49a0-b564-bc36991123b4?auto=format,compress,enhance&w=400"
"062283523_N6E27494","N6E27494","2022-06-23 15:20:00.000","Drone","1","18.718867841062902","73.80290824671687","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/b8e8524b-cee9-49a0-b564-bc36991123b4?auto=format,compress,enhance&w=400"
"062283523_N6E27510","N6E27510","2022-06-23 15:20:00.000","Drone","1","18.718965868840233","73.80293021894164","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/4c880de9-b3de-45c0-9734-c88e6e6e4299?auto=format,compress,enhance&w=400"
"062283523_N6E27492","N6E27492","2022-06-23 15:20:00.000","Drone","1","18.71901531328446","73.80294113560963","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/a908a4fe-3131-4bfc-902e-f9e5f0f789df?auto=format,compress,enhance&w=400"
"062283523_N6E27468","N6E27468","2022-06-23 15:20:00.000","Drone","1","18.71916397995047","73.8029738856135","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/8b8ad0e1-e3c1-494c-9328-5b0282c49b3c?auto=format,compress,enhance&w=400"
"062283523_N6E27531","N6E27531","2022-06-23 15:20:00.000","Drone","1","18.71916397995047","73.8029738856135","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/8b8ad0e1-e3c1-494c-9328-5b0282c49b3c?auto=format,compress,enhance&w=400"
"062283523_N6E27756","N6E27756","2022-06-23 15:20:00.000","Drone","1","18.719262757727837","73.80299463561614","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/0c3995d8-94a4-4f92-859d-4e8def5f4a8f?auto=format,compress,enhance&w=400"
"062283523_N6E27428","N6E27428","2022-06-23 15:20:00.000","Drone","1","18.71936009106262","73.80295716339889","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/d88ca36b-114b-44d3-9e94-ab1b2dfcee8c?auto=format,compress,enhance&w=400"
"062283523_N6E27420","N6E27420","2022-06-23 15:20:00.000","Drone","1","18.719317618840442","73.8029522745087","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/1ed3ab26-b9e8-4173-8d81-36ca225088ae?auto=format,compress,enhance&w=400"
"062283523_N6E26966","N6E26966","2022-06-23 15:20:00.000","Drone","1","18.719268868840686","73.80294096895192","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/701d0367-e9a7-4d26-b537-59cb5a644a6e?auto=format,compress,enhance&w=400"
"062283523_N6E27349","N6E27349","2022-06-23 15:20:00.000","Drone","1","18.718976334719603","73.80287470691951","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/f27f06b6-5926-4fb4-8726-631546dabe61?auto=format,compress,enhance&w=400"
"062283523_N6F29952","N6F29952","2022-06-23 15:20:00.000","Drone","1","18.718927473608726","73.80286426247355","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/953befa0-14b5-43c1-971d-2bed10ae2339?auto=format,compress,enhance&w=400"
"062283523_N6F30228","N6F30228","2022-06-23 15:20:00.000","Drone","1","18.718829862498172","73.80284090135955","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/dbd41fd6-f019-40ad-a27c-d553ff66dd35?auto=format,compress,enhance&w=400"
"062283523_N6E27472","N6E27472","2022-06-23 15:20:00.000","Drone","1","18.718829862498172","73.80284090135955","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/dbd41fd6-f019-40ad-a27c-d553ff66dd35?auto=format,compress,enhance&w=400"
"062283523_N6E29573","N6E29573","2022-06-23 15:20:00.000","Drone","1","18.718829862498172","73.80284090135955","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/dbd41fd6-f019-40ad-a27c-d553ff66dd35?auto=format,compress,enhance&w=400"
"062283523_N6E29595","N6E29595","2022-06-23 15:20:00.000","Drone","1","18.71878072360951","73.80283084580248","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/4db083bd-8ac9-4489-8303-7fb208494929?auto=format,compress,enhance&w=400"
"062283523_N6E29534","N6E29534","2022-06-23 15:20:00.000","Drone","1","18.718731362498684","73.80281879024545","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/c6d4eb0c-ff76-4619-b104-5aca6111d62f?auto=format,compress,enhance&w=400"
"062283523_N6E27228","N6E27228","2022-06-23 15:20:00.000","Drone","1","18.718632473610278","73.8027974291313","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/a804fb81-33f8-48fc-a89f-b211f395598a?auto=format,compress,enhance&w=400"
"062283523_N6E29562","N6E29562","2022-06-23 15:20:00.000","Drone","1","18.71868781328971","73.80275102449477","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/fee58b06-8f3c-410e-b039-57f6b778a1fe?auto=format,compress,enhance&w=400"
"062283523_N6E29580","N6E29580","2022-06-23 15:20:00.000","Drone","1","18.71868781328971","73.80275102449477","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/fee58b06-8f3c-410e-b039-57f6b778a1fe?auto=format,compress,enhance&w=400"
"062283523_N6E28239","N6E28239","2022-06-23 15:20:00.000","Drone","1","18.719031729954832","73.80282708005936","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/9804e16d-1013-4d21-826e-a3dcaf19738b?auto=format,compress,enhance&w=400"
"062283523_N6F30368","N6F30368","2022-06-23 15:20:00.000","Drone","1","18.71907972995462","73.80283760783838","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/8efcaaf0-fdb3-4b48-9458-c85d6c67e69f?auto=format,compress,enhance&w=400"
"062283523_N6E29564","N6E29564","2022-06-23 15:20:00.000","Drone","1","18.719128479954406","73.80284799672853","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/87619e54-b58b-4dcb-94ab-b609a409e652?auto=format,compress,enhance&w=400"
"062283523_N6E27356","N6E27356","2022-06-23 15:20:00.000","Drone","1","18.719128479954406","73.80284799672853","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/87619e54-b58b-4dcb-94ab-b609a409e652?auto=format,compress,enhance&w=400"
"062283523_N6F29821","N6F29821","2022-06-23 15:20:00.000","Drone","1","18.71917822995418","73.80285924672984","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/e9d1ef08-fa54-4597-a025-65da4c3b1281?auto=format,compress,enhance&w=400"
"062283523_N6E28686","N6E28686","2022-06-23 15:20:00.000","Drone","1","18.719228007731754","73.80286974673116","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/f801d345-a8da-42f3-a1c7-16c428b9215d?auto=format,compress,enhance&w=400"
"062283523_N6F30139","N6F30139","2022-06-23 15:20:00.000","Drone","1","18.719228007731754","73.80286974673116","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/f801d345-a8da-42f3-a1c7-16c428b9215d?auto=format,compress,enhance&w=400"
